idPerson,fiscalCode,name,surname,sex,birthDate,birthPlace,phoneNumber,isVaxed,idFamily,idApp,dateLastTest,resultLastTest,dateInfection,areaInfection,familyMembers,appContactId,appContactDate,appName,placeContactId,placeContactDateStart,placeContactDateEnd
79,RMNGIO69T55G337M,Gioia,Romano,F,15/12/1969,Parma,3490060599,No,0004,01086905969118348715,2021-08-04T20:34,Negative,,,53:72:79:97,67:75:2:39,2020-11-20T10:38;2020-12-28T18:12;2020-09-16T04:40;2020-08-24T16:21,Corona-Warn-App;Stopp Corona App;TousAntiCovid;Immuni,,,
80,BRNTMS73M15F023D,Tommaso,Bruno,M,15/08/1973,Massa,3481595796,Yes,0011,01674797241026079642,,,,,12:80:84:90:99,39:32:62,2020-03-25T08:54;2021-09-16T13:06;2020-10-02T12:26,Stopp Corona App;CovTracer-EN;Stopp Corona App,0:2,2021-06-08T17:12;2020-03-28T07:47,2021-06-08T18:47;2020-03-28T10:31
81,DNGLEI03D24G388V,Elia,D'Angelo,M,24/04/1903,Pavia,3473497125,No,0046,04163960375171363130,,,,,29:81,25:67:22:33:85,2021-08-25T16:18;2020-12-16T14:58;2020-04-10T11:07;2020-08-20T13:24;2021-06-05T12:05,Coronalert;Corona-Warn-App;TousAntiCovid;Immuni;Coronalert,,,
82,LNEMNL11D23B429P,Emanuele,Leone,M,23/04/2011,Caltanissetta,3495511786,Yes,0023,04046343471703078465,2020-02-18T03:47,Positive,2019-12-20T13:17,21,21:78:82:89,,,,,,
83,RSSRCR11D21B157G,Riccardo,Rossi,M,21/04/2011,Brescia,3408030690,Yes,0000,06545685004759043693,,,,,26:30:47:50:77:83:87,12:71,2021-06-07T17:59;2020-04-16T02:50,Stopp Corona App;Immuni,,,
84,BRNTMS41D19A462V,Tommaso,Bruno,M,19/04/1941,Ascoli Piceno,3481319332,Yes,0011,05047176766407680840,2021-10-19T20:26,Positive,2021-09-21T09:41,,12:80:84:90:99,49:25:30,2021-09-25T12:28;2020-04-08T12:09;2020-10-17T11:05,Coronalert;Corona-Warn-App;CovTracer-EN,11,2021-07-19T00:13,2021-07-19T01:52
85,GTTCCL00L48G713V,Cecilia,Gatti,F,08/07/2000,Pistoia,3438183929,No,0028,02738251731532340086,2022-01-13T02:40,Positive,2021-11-15T11:35,,41:85,6:23:51:68:70:71:81,2021-01-19T13:02;2020-04-22T18:31;2020-05-09T21:41;2021-01-29T11:41;2020-11-03T04:14;2020-05-16T10:00;2021-06-05T12:05,Corona-Warn-App;TousAntiCovid;Coronalert;Coronalert;Corona-Warn-App;Coronalert;Coronalert,,,
86,FRRMHL97D05H620V,Michele,Ferraro,M,05/04/1997,Rovigo,3479004393,Yes,0042,00257562200243041914,,,,,64:68:86,57:20,2020-08-12T20:24;2020-03-07T00:55,Coronalert;Coronalert,25,2020-07-27T04:43,2020-07-27T05:08
87,RSSGRT06C53A285R,Greta,Rossi,F,13/03/2006,Andria,3408898389,Yes,0000,01100619809145453620,2021-06-17T14:22,Negative,,,26:30:47:50:77:83:87,57:30:42,2020-03-30T03:06;2021-04-25T04:06;2020-07-24T01:31,Coronalert;Stopp Corona App;Coronalert,34,2021-04-28T04:13,2021-04-28T07:09
88,GLLMNL19T13G337H,Emanuele,Gallo,M,13/12/2019,Parma,3451336939,Yes,0005,08582193931620573597,2022-01-16T02:08,Positive,2021-12-08T06:04,26,17:88,5:6:71:40,2021-11-20T04:59;2021-02-17T20:14;2021-12-27T22:26;2020-11-06T03:42,Corona-Warn-App;CovTracer-EN;Stopp Corona App;TousAntiCovid,36,2021-04-27T19:53,2021-04-27T22:50
89,LNEMIA92M53G337N,Mia,Leone,F,13/08/1992,Parma,3426225437,No,0023,01006497490909636165,2020-10-03T21:31,Negative,,,21:78:82:89,39,2020-08-24T08:28,Coronalert,30:38,2021-04-14T22:32;2022-01-19T03:59,2021-04-15T00:11;2022-01-19T04:29
90,BRNGDI23E45L424T,Giada,Bruno,F,05/05/1923,Trieste,3408629737,No,0011,08130279702717970299,2021-05-19T23:37,Negative,,,12:80:84:90:99,66:98,2021-11-11T20:01;2020-07-07T22:35,Immuni;Coronalert,,,
91,GRSSAI22B56A326S,Asia,Grassi,F,16/02/1922,Aosta,3426435733,No,0044,00910990339804680237,2020-09-20T23:19,Positive,2020-08-07T07:59,48,91,8:14:47:72:98:28:9,2020-04-15T03:21;2021-08-19T02:36;2021-06-25T04:40;2021-09-17T03:37;2020-03-26T09:56;2021-08-18T21:36;2020-07-23T17:50,Coronalert;Corona-Warn-App;Corona-Warn-App;CovTracer-EN;Stopp Corona App;Corona-Warn-App;TousAntiCovid,,,
92,FRNBDT06S52L407N,Benedetta,Farina,F,12/11/1906,Treviso,3450219093,Yes,0036,05244533641915983431,2021-12-06T15:34,Negative,,,92,44:40,2021-11-05T10:50;2021-02-25T13:36,Coronalert;Coronalert,40,2020-09-08T10:50,2020-09-08T12:32
93,FRRMME61L49D704Q,Emma,Ferrari,F,09/07/1961,Forlì,3440825861,Yes,0001,07118820126492213498,2021-08-30T03:32,Positive,2021-07-24T01:15,28,13:93,25,2020-07-17T04:28,Corona-Warn-App,,,
94,RSSDNL19R29A669Y,Daniel,Rossetti,M,29/10/2019,Barletta,3405539957,Yes,0045,09214978368367709832,2021-10-27T16:59,Positive,2021-09-02T10:17,33,24:94,56,2020-04-02T00:17,Corona-Warn-App,12:17,2021-09-15T18:18;2021-06-02T00:32,2021-09-15T19:07;2021-06-02T02:05
95,BRNDNL08L14G224M,Daniele,Bernardi,M,14/07/2008,Padova,3489243886,No,0047,08760642778523324983,,,,,54:95,35:68:75:76:68:42:58,2021-08-13T20:59;2020-05-16T12:44;2021-10-07T05:19;2020-07-31T12:55;2021-03-08T08:15;2021-04-22T21:44;2021-09-08T21:31,TousAntiCovid;TousAntiCovid;Immuni;Coronalert;Stopp Corona App;TousAntiCovid;Corona-Warn-App,,,
96,BNCCLL17M67C352Y,Camilla,Bianchi,F,27/08/1917,Catanzaro,3447346178,No,0003,05634022843788075576,2021-07-10T19:37,Negative,,,20:27:31:69:96,11,2020-08-21T16:45,Stopp Corona App,,,
97,RMNGLI82D19B832G,Gioele,Romano,M,19/04/1982,Carrara,3495210579,Yes,0004,09170281579117137337,,,,,53:72:79:97,47:56:36,2021-06-13T06:28;2021-05-22T10:43;2020-10-17T07:32,CovTracer-EN;Corona-Warn-App;Stopp Corona App,0,2021-06-08T17:10,2021-06-08T18:52
98,MRNLGU97P04H620K,Luigi,Marini,M,04/09/1997,Rovigo,3409022774,No,0032,02438638628526503198,,,,,98,4:90:91:32,2021-09-05T01:19;2020-07-07T22:35;2020-03-26T09:56;2020-04-13T19:22,TousAntiCovid;Coronalert;Stopp Corona App;Coronalert,17:46,2021-06-02T00:47;2021-04-13T21:12,2021-06-02T01:58;2021-04-13T22:51
99,BRNLCA28B43A326X,Alice,Bruno,F,03/02/1928,Aosta,3440701462,Yes,0011,08767160981773570731,2021-12-23T22:57,Positive,2021-11-10T06:27,38,12:80:84:90:99,,,,,,
